Course,Grade,Crefit,Remark
MAT101,C,2.5,pass
EST100,A,3.5,pass
PHT100,F,0,fail
EST130,S,4,pass
HUN101,P,4,pass
Course,Grade,Credit,Remark
MAT101,F,0,fail
EST100,B,3,pass
PHT100,F,0,fail
EST130,S,4,pass
HUN101,P,4,pass
Course,Grade,Credit,Remark
MAT101,E,1,pass
EST100,F,0,fail
PHT100,F,0,fail
EST130,C,2.5,pass
HUN101,P,4,pass
Course,Grade,Credit,Remark
MAT101,F,0,fail
EST100,S,4,pass
PHT100,B,3,pass
EST130,F,0,fail
HUN101,P,4,pass
Course,Grade,Credit,Remark
MAT101,C,2.5,pass
EST100,C,2.5,pass
PHT100,C,2.5,pass
EST130,B,3,pass
HUN101,P,4,pass
Course,Grade,Credit,Remark
MAT101,D,2,pass
EST100,E,1,pass
PHT100,E,1,pass
EST130,F,0,fail
HUN101,P,4,pass
Course,Grade,Credit,Remark
MAT101,B,3,pass
EST100,C,2.5,pass
PHT100,S,4,pass
EST130,D,2,pass
HUN101,P,4,pass
Course,Grade,Credit,Remark
MAT101,C,2.5,pass
EST100,F,0,fail
PHT100,S,4,pass
EST130,F,0,fail
HUN101,P,4,pass
Course,Grade,Credit,Remark
MAT101,S,4,pass
EST100,A,3.5,pass
PHT100,S,4,pass
EST130,F,0,fail
HUN101,P,4,pass
Course,Grade,Credit,Remark
MAT101,B,3,pass
EST100,F,0,fail
PHT100,D,2,pass
EST130,A,3.5,pass
HUN101,P,4,pass
Course,Grade,Credit,Remark
MAT101,D,2,pass
EST100,D,2,pass
PHT100,E,1,pass
EST130,F,0,fail
HUN101,P,4,pass
Course,Grade,Credit,Remark
MAT101,E,1,pass
EST100,A,3.5,pass
PHT100,S,4,pass
EST130,E,1,pass
HUN101,P,4,pass
Course,Grade,Credit,Remark
MAT101,S,4,pass
EST100,C,2.5,pass
PHT100,C,2.5,pass
EST130,C,2.5,pass
HUN101,P,4,pass
Course,Grade,Credit,Remark
MAT101,S,4,pass
EST100,E,1,pass
PHT100,D,2,pass
EST130,S,4,pass
HUN101,P,4,pass
Course,Grade,Credit,Remark
MAT101,A,3.5,pass
EST100,S,4,pass
PHT100,B,3,pass
EST130,A,3.5,pass
HUN101,P,4,pass
Course,Grade,Credit,Remark
MAT101,F,0,fail
EST100,D,2,pass
PHT100,A,3.5,pass
EST130,A,3.5,pass
HUN101,P,4,pass
Course,Grade,Credit,Remark
MAT101,E,1,pass
EST100,S,4,pass
PHT100,F,0,fail
EST130,C,2.5,pass
HUN101,P,4,pass
Course,Grade,Credit,Remark
MAT101,C,2.5,pass
EST100,A,3.5,pass
PHT100,S,4,pass
EST130,B,3,pass
HUN101,P,4,pass
Course,Grade,Credit,Remark
MAT101,A,3.5,pass
EST100,B,3,pass
PHT100,A,3.5,pass
EST130,F,0,fail
HUN101,P,4,pass
Course,Grade,Credit,Remark
MAT101,E,1,pass
EST100,C,2.5,pass
PHT100,B,3,pass
EST130,A,3.5,pass
HUN101,F,0,fail
